Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
WELCORP,Welspun Corp Limited,Basic Materials,Steel,33773.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,48,Sep 48mo | Mid rally 1092% | Asymmetry 0%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,1280.7,430.46,36.1,1088.6,3406.36,4870.93,15588.1,7286.88,280.3,95.0,17.37,18.09,4.13,0.15,15.73,0.39,,1247.0,6,strong_buy,18.6,21.2,,13.0,,11.85,,17.21,18.85,,2.42,113.92,,-32.9,0.5,insufficient history,0.18,,,,,,49.73,,,11.23,,21.49,,1377.4,710.0,7.0,80.4,46.72,384.37,0.55,0.5,1,26.0,28.5,7.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~95% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 114% | ROCE 21% | Low D/E 0.18 | PEG 0.15 — deeply undervalued,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,312,,2026-05-20,2026-05-20,0,,1,
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare,Diagnostics & Research,13378.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1055 | 30-EMA=924 | Above by 40.7% | MA turning=Yes,,Uptrend,True,True,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,1300.1,924.15,746.56,1105.08,1030.33,1328.32,1654.77,1305.74,2.2,1.1,77.34,49.66,15.45,2.89,49.06,0.17,,1362.2,10,buy,19.7,21.3,,41.0,,20.73,,19.53,21.04,,20.14,26.73,,22.8,0.5,insufficient history,0.42,,,,,,52.51,,,13.38,,29.93,,1379.3,848.0,5.7,53.3,39.66,153.4,1.38,0.28,1,29.0,28.5,0.0,8.0,65.5,ACCUMULATE ⭐⭐⭐,Expected ~1% CAGR (2yr) | Revenue CAGR 21% | Profit CAGR 27% | ROCE 21% | Promoter 53% holding | OPM 41%,High PE 77,2-3 years,Medium,"yfinance, screener.in",80,57,,2026-05-20,2026-05-20,0,,1,
COFORGE,Coforge Limited,Technology,Information Technology Services,60716.0,Large-Cap,MonthlyDoubleBottom,Forming,0.964,29,Sep 29mo | Mid rally 105% | Asymmetry 9%,MonthlyDoubleBottom+MonthlyStage2,Sideways,False,True,Below-MAs,True,Downtrend,0,Uptrend,Uptrend,1412.0,1984.96,924.97,1200.2,1954.84,3044.95,3447.52,2596.02,115.6,46.8,32.23,20.49,4.97,0.98,15.49,1.19,,1636.91,34,buy,20.6,23.5,,18.0,,9.48,10.8,36.11,26.96,,86.43,32.8,,134.4,0.5,insufficient history,0.07,,1.61,,1715.94,2.83,,,,23.32,,44.42,,1994.0,1008.1,29.2,40.1,-18.68,31.66,1.59,0.16,5,36.0,18.07,11.0,0.0,65.1,ACCUMULATE ⭐⭐⭐,Expected ~47% CAGR (2yr) | Revenue CAGR 27% | Profit CAGR 33% | ROE 21% | ROCE 24% | Nearly debt-free,Earnings due 2026-07-23 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,262,2026-07-23,2026-05-20,2026-05-20,0,,1,
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1165603.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,19,Sep 19mo | Mid rally 110% | Asymmetry 5%,,Sideways,False,False,Below-MAs,True,Downtrend,0,Uptrend,Uptrend,1913.5,429.14,200.07,1626.47,1865.96,2486.66,3665.12,2615.14,30.0,14.0,43.12,22.93,7.5,1.07,11.0,0.83,,2293.94,32,buy,21.9,18.5,,57.0,,12.65,7.85,21.96,14.88,,-9.76,40.15,,-33.5,0.5,insufficient history,1.0,,0.52,,60950.84,5.23,48.87,,,27.79,,20.53,,2174.5,1740.5,12.0,9.9,3.46,98.73,0.88,0.04,4,31.0,18.0,10.0,3.0,62.0,ACCUMULATE ⭐⭐⭐,Expected ~14% CAGR (2yr) | Profit CAGR 40% | ROE 22% | OPM 57% | FCF yield 5.2% | PEG 1.07 — fair value,Earnings due 2026-08-05 | Pattern still forming (not broken out),3-4 years,Medium-High,"yfinance, screener.in",100,287,2026-08-05,2026-05-20,2026-05-20,0,,1,
RATEGAIN,RateGain Travel Technologies Limited,Technology,Software - Application,7955.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=592 | 30-EMA=580 | Above by 16.1% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,True,Downtrend,0,Uptrend,Uptrend,673.6,579.95,433.8,572.56,705.62,870.41,1345.14,974.24,29.2,13.7,44.29,29.7,4.38,1.16,31.24,0.0,,714.67,9,none,13.3,17.3,,18.0,,13.09,,27.11,34.31,,-14.35,38.07,,-53.2,0.5,insufficient history,0.82,,,,,,48.77,,,5.35,,20.86,,741.6,417.6,9.2,61.3,54.68,38.13,0.39,0.77,1,25.0,21.5,4.0,8.0,58.5,WATCH ⭐⭐,Expected ~14% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 38% | PEG 1.16 — fair value | MonthlyStage2 forming (24mo base) | Outperforms Nifty by 55%/yr,None identified,3-4 years,Medium-High,"yfinance, screener.in",80,54,,2026-05-20,2026-05-20,0,,1,
CAMPUS,Campus Activewear Limited,Consumer Cyclical,Footwear & Accessories,7106.0,Small-Cap,MonthlyDoubleBottom,Forming,0.744,13,Sep 13mo | Mid rally 76% | Asymmetry 1%,,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Uptrend,232.52,370.52,209.77,199.28,358.23,531.27,706.45,503.06,128.5,51.2,50.33,40.01,8.91,1.24,31.08,0.26,,302.43,7,none,29.5,31.8,,20.0,,8.18,,67.93,26.13,,300.0,40.43,,37.0,0.5,insufficient history,0.48,,,,,,72.09,,,6.07,,11.6,,304.4,215.2,23.6,8.0,-9.27,-47.8,0.2,0.08,1,38.0,12.43,7.0,1.0,58.4,WATCH ⭐⭐,Expected ~51% CAGR (2yr) | Revenue CAGR 26% | Profit CAGR 40% | ROE 30% | ROCE 32% | Promoter 72% holding,High PE 50 | Pattern still forming (not broken out),3-4 years,Medium-High,"yfinance, screener.in",80,49,,2026-05-20,2026-05-20,0,,1,
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,20363.0,Mid-Cap,MonthlyDoubleBottom,Breakout Ready,0.886,13,Sep 13mo | Mid rally 91% | Asymmetry 2%,,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,8536.0,7115.25,3696.88,7255.6,7904.97,10533.62,10496.18,9108.89,23.4,11.1,53.03,27.04,6.24,3.48,18.33,0.13,,9370.62,8,buy,12.8,14.2,,15.0,,4.72,6.64,41.81,36.35,,91.04,15.23,,74.4,0.5,insufficient history,1.11,,1.18,,-881.71,-4.33,48.7,,,15.19,,28.29,,9738.0,5100.0,12.3,67.4,60.81,90.23,4.68,,3,13.0,27.13,4.0,8.0,52.1,WATCH ⭐⭐,Expected ~11% CAGR (2yr) | Revenue CAGR 36% | EV/EBITDA 18× vs sector 25× | MonthlyDoubleBottom — Breakout Ready | Weekly uptrend | Weekly volume expanding,High D/E 1.1 | High PE 53,3-4 years,Medium-High,"yfinance, screener.in",100,63,,2026-05-20,2026-05-20,0,,1,
PERSISTENT,Persistent Systems Limited,Technology,Information Technology Services,79151.0,Large-Cap,MonthlyDoubleBottom,Forming,0.563,8,Sep 8mo | Mid rally 66% | Asymmetry 10%,MonthlyDoubleBottom+MonthlyStage2,Sideways,False,False,Below-MAs,True,Downtrend,0,Uptrend,Uptrend,5066.3,347.71,199.89,4306.36,5043.92,6066.95,8072.69,6381.07,19.8,9.4,42.7,29.0,10.11,1.61,27.76,0.89,,5595.76,34,buy,27.3,34.4,,19.0,,12.65,14.87,23.53,20.87,,33.21,26.51,,33.7,0.5,insufficient history,0.06,,2.43,,1456.11,1.84,30.29,,,22.11,,30.47,,6599.0,4449.1,23.2,13.9,-8.17,83.23,0.63,0.09,5,36.0,11.76,3.0,1.0,51.8,WATCH ⭐⭐,Expected ~9% CAGR (2yr) | Revenue CAGR 21% | Profit CAGR 27% | ROE 27% | ROCE 34% | Nearly debt-free,Earnings due 2026-04-21 | Pattern still forming (not broken out),3-4 years,Medium-High,"yfinance, screener.in",100,194,2026-04-21,2026-05-20,2026-05-20,0,,1,
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,363866.0,Large-Cap,MonthlyDoubleBottom,Breakout Ready,0.906,17,Sep 17mo | Mid rally 92% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,3,Uptrend,Uptrend,4102.0,1363.41,707.14,3486.7,2833.01,3984.7,3793.72,3278.36,,,71.81,47.65,28.41,4.57,46.75,0.26,,5044.22,37,buy,37.7,25.8,,10.0,,5.79,9.3,44.87,29.24,,52.02,15.72,,35.4,0.5,insufficient history,1.95,,1.28,,-6509.88,-1.79,52.9,,,15.65,,14.84,,4605.0,3303.1,10.9,24.2,18.94,12.8,1.2,0.29,3,21.0,23.37,1.0,4.0,49.4,MONITOR ⭐,Revenue CAGR 29% | ROE 38% | ROCE 26% | Promoter 53% holding | MonthlyDoubleBottom — Breakout Ready | Sector in Stage2,High D/E 1.9 | High PE 72 | Earnings due 2026-08-06,3-4 years,Medium-High,"yfinance, screener.in",100,365,2026-08-06,2026-05-20,2026-05-20,0,,1,
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,51769.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,13,Sep 13mo | Mid rally 119% | Asymmetry 4%,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Constructive,False,Stage2,1,Uptrend,Uptrend,1864.5,218.88,97.89,1584.83,1154.08,1745.67,1753.96,1422.75,,,43.02,28.99,9.78,1.85,28.52,0.31,,2230.05,19,buy,25.3,31.6,,8.0,,5.21,11.95,11.55,12.6,,58.92,23.28,,20.9,0.5,insufficient history,0.09,,1.34,,402.28,0.78,28.25,,,37.52,,16.05,,2301.4,1492.0,19.0,25.0,15.03,21.24,0.69,0.29,4,26.0,16.5,3.0,3.0,48.5,MONITOR ⭐,Profit CAGR 23% | ROE 25% | ROCE 32% | Nearly debt-free | MonthlyDoubleBottom forming (13mo base) | Sector in Stage2,Earnings due 2026-07-23 | Pattern still forming (not broken out),3-4 years,Medium-High,"yfinance, screener.in",100,174,2026-07-23,2026-05-20,2026-05-20,0,,1,
