Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
STOVEKRAFT,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2561.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=640 | 30-EMA=623 | Above by 24.4% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,774.95,623.06,453.5,658.71,3170.51,8199.29,54841.18,13186.15,958.0,225.3,60.99,30.41,5.07,0.19,15.91,45.0,20.0,719.0,3,none,67.5,31.8,7.4,13.0,2.86,2.61,4.55,28.21,17.91,11.48,2600.0,,,317.9,0.2,multiple loss years in history,0.23,,0.97,,141.1,5.51,55.79,0.0,,1.22,0.41,7.09,-0.88,828.0,447.05,6.4,73.3,22.78,21.74,0.34,0.41,6,40.0,28.5,13.0,6.0,87.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~225% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 316% | ROE 68% | ROCE 32% | ROCE trend rising ↑,High PE 61,1-3 years,Low-Medium,"yfinance, screener.in",90,66,,2026-08-01,2026-06-01,61,43.4,9,8.0
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,108388.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Uptrend,True,Stage2,6,Uptrend,Uptrend,2421.2,1234.32,618.72,2058.02,14269.8,20569.24,74597.16,32626.47,749.5,191.5,20.37,23.17,4.83,0.16,13.47,76.0,65.1,2483.41,37,buy,28.7,29.9,5.69,29.0,3.86,19.07,12.71,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,3722.05,3.43,46.85,0.0,,22.42,0.72,24.65,-0.67,2529.5,1836.8,4.3,31.8,28.67,97.16,0.84,0.18,7,40.0,26.19,13.0,6.0,85.2,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~192% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-06 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,299,2026-08-06,2026-08-01,2026-06-01,61,5.8,9,4.0
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1754.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,616.2,1032.12,185.38,523.77,1725.94,2236.31,2897.58,2236.31,262.9,90.5,8.33,,0.96,0.28,4.25,17.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.43,66.78,0.0,,0.42,-0.2,0.01,0.01,693.5,440.1,11.1,40.0,2.69,-11.84,1.92,-0.34,7,40.0,28.0,14.0,3.0,85.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~90% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,263,,2026-08-01,2026-06-01,61,-6.0,9,2.0
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical,Auto Parts,9991.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,33,Sep 33mo | Mid rally 205% | Asymmetry 2%,,Sideways-Above-MA,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,1568.3,194.78,63.18,1333.05,3637.12,3976.74,7625.97,5266.56,153.6,59.2,35.84,22.97,8.25,0.8,16.92,38.0,16.26,2042.0,5,none,26.8,21.4,1.4,14.0,1.03,5.73,8.34,33.9,38.15,34.46,47.16,44.8,45.89,50.9,1.0,steady compounder (low CV),0.83,,1.06,,65.65,0.66,55.98,0.0,,8.7,0.32,16.53,-0.28,1898.0,954.1,17.4,64.4,35.05,305.93,0.54,0.43,6,39.0,25.5,13.0,7.0,84.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~59% CAGR (2yr) | Revenue CAGR 38% | Profit CAGR 45% | ROE 27% | ROCE 21% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,235,,2026-08-01,2026-06-01,61,-3.6,9,8.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,63162.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,350.05,109.96,55.48,297.54,1170.56,1280.01,2968.99,1864.24,265.7,91.2,10.29,9.27,2.92,0.17,6.86,231.0,5.73,403.67,12,hold,29.4,39.6,4.8,44.0,4.69,32.49,18.2,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3402.6,5.39,51.28,0.0,,21.99,-0.28,11.22,0.47,445.15,179.93,21.4,94.5,97.41,295.93,0.62,0.61,6,40.0,20.65,15.0,7.0,82.6,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~91% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,328,2026-07-30,2026-08-01,2026-06-01,61,-12.3,9,0.0
MONARCH,Monarch Networth Capital Limited,Financial Services,Capital Markets,2837.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=325 | 30-EMA=303 | Above by 27.3% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,12,Uptrend,Uptrend,386.2,303.38,249.75,328.27,859.15,1387.18,2239.74,1387.18,259.2,89.5,15.68,,2.92,0.26,,28.0,25.99,,0,none,20.5,27.7,-2.71,69.0,6.14,49.44,12.91,13.41,31.93,29.28,21.48,61.46,49.79,84.3,0.15,highly inconsistent earnings,0.04,,2.21,,,,53.83,-0.03,,2.77,1.3,0.15,0.0,378.0,235.45,-2.2,64.0,23.06,98.0,2.19,0.12,5,40.0,28.0,8.0,6.0,82.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~90% CAGR (2yr) | Revenue CAGR 32% | Profit CAGR 61% | ROE 20% | ROCE 28% | Nearly debt-free,None identified,1-3 years,Low-Medium,"yfinance, screener.in",90,55,,2026-08-01,2026-06-01,61,23.6,9,12.0
FILATEX,Filatex India Limited,Consumer Cyclical,Textile Manufacturing,3278.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=51 | 30-EMA=51 | Above by 23.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,62.25,50.63,36.9,52.91,290.42,421.17,610.78,421.17,576.6,160.1,17.88,5.56,3.41,0.4,4.76,62.0,35.72,,0,none,12.9,16.9,1.2,8.0,-0.11,4.33,,-2.14,29.23,26.63,36.57,45.02,47.74,16.6,1.0,steady compounder (low CV),0.1,,,,,,65.47,0.0,,4.03,-0.19,2.84,0.06,77.54,36.26,19.7,71.7,21.56,7.33,1.19,0.04,2,32.0,28.5,12.0,8.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~160% CAGR (2yr) | Revenue CAGR 29% | Profit CAGR 45% | ROCE trend rising ↑ | Low D/E 0.10 | Promoter 65% holding,None identified,1-3 years,Low-Medium,"yfinance, screener.in",80,180,,2026-08-01,2026-06-01,61,46.9,9,17.0
SKYGOLD,Sky Gold and Diamonds Limited,Consumer Cyclical,Luxury Goods,10124.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.372,13,Sep 13mo | Mid rally 40% | Asymmetry 2%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,638.9,402.85,285.0,543.06,2599.77,4077.9,15700.84,6388.95,538.3,152.6,36.24,21.36,8.45,0.25,24.79,0.0,,611.33,3,none,29.2,27.0,3.3,7.0,1.1,4.37,14.83,77.42,76.03,,112.03,145.75,,120.8,0.4,lumpy earner,0.72,,1.89,,137.76,1.36,51.74,0.0,,2.79,1.59,14.2,1.06,683.45,246.05,6.5,159.7,122.82,2124.37,0.6,0.15,5,40.0,19.96,10.0,10.0,80.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~153% CAGR (2yr) | Revenue CAGR 76% | Profit CAGR 146% | ROE 29% | ROCE 27% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,43,,2026-08-01,2026-06-01,61,39.4,9,-3.0
MCX,Multi Commodity Exchange of India Limited,Financial Services,Financial Data & Stock Exchanges,69482.0,Large-Cap,MonthlyDoubleBottom,Forming,0.968,25,Sep 25mo | Mid rally 104% | Asymmetry 7%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,12,Uptrend,Uptrend,2692.2,251.5,119.52,2288.37,2305.0,4235.77,9928.3,4783.8,57.3,25.4,52.36,33.34,16.51,0.49,37.03,22.0,19.91,3413.71,14,buy,56.3,71.4,10.17,71.0,4.26,54.82,17.92,106.83,64.83,42.56,137.86,107.54,42.71,291.1,0.15,highly inconsistent earnings,0.0,,1.31,,2811.41,4.05,,,,29.85,3.78,50.8,-3.55,3480.0,1460.8,22.6,84.3,83.75,684.42,0.82,0.6,6,40.0,22.12,10.0,7.0,79.1,BUY ⭐⭐⭐⭐,Expected ~25% CAGR (2yr) | Revenue CAGR 65% | Profit CAGR 108% | ROE 56% | ROCE 71% | ROCE trend rising ↑,High PE 52 | Earnings due 2026-08-04 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",90,173,2026-08-04,2026-08-01,2026-06-01,61,-21.2,9,0.0
TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,Luxury Goods,1728.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=184 | 30-EMA=166 | Above by 59.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,264.9,165.62,111.51,225.16,3193.66,5479.36,9400.94,5479.36,1968.5,354.8,8.54,87.17,2.06,0.12,6.82,87.0,31.04,,0,none,27.1,21.4,2.0,11.0,0.57,6.3,10.94,22.25,10.19,19.0,197.06,71.57,36.26,612.6,0.15,highly inconsistent earnings,1.06,,1.65,,-81.27,-4.7,74.12,0.0,,1.47,1.21,0.0,0.0,274.99,110.5,3.7,139.7,45.58,110.7,2.2,0.48,6,27.0,30.0,13.0,8.0,78.0,BUY ⭐⭐⭐⭐,Expected ~355% CAGR (2yr) | Profit CAGR 72% | ROE 27% | ROCE 21% | ROCE trend rising ↑ | Promoter 74% holding,High D/E 1.1,2-3 years,Medium,"yfinance, screener.in",100,171,,2026-08-01,2026-06-01,61,103.9,9,14.5
